Run #	Config	Date/Time	RunType	Beam Mode	Beam Current	Beam Energy	Target	Log entries (HALOG, HAPLOG)	Run analyzed?	Comment	Raster X/Y	Helicity	IHWP setting	SAM 1 HV	SAM 2 HV	SAM 3 HV	SAM 4 HV	SAM 5 HV	SAM 6 HV	SAM 7 HV	SAM 8 HV
1117	CntHouse		Pedestal							Twiddle 4a X+											
1118	CntHouse		Pedestal							Twiddle 4a Y+											
1119	CntHouse		Pedestal							Twiddle 4a X-											
1120	CntHouse		Pedestal							Twiddle 4a Y-											
1121	CntHouse		Pedestal							Twiddle 4e X+											
1122	CntHouse		Pedestal							Twiddle 4e Y+											
1123	CntHouse		Pedestal							Twiddle 4e X-											
1124	CntHouse		Pedestal							Twiddle 4e Y-											
1125	CntHouse		Pedestal							Background run											
1214	CntHouse		Calibration							Unser Calibration, No scandata available											
1219	ALL_PREX		Pedestal							BPM zero Forced Gain											
1220	CntHouse		Junk																		
1224	ALL_PREX		Beam On		5 uA		Tungsten Wire			Target Horizontal Scan 											
1225	ALL_PREX		Beam On		5 uA		Tungsten Wire			Target Horizontal Scan 											
1226	ALL_PREX		Beam On		5 uA		Tungsten Wire			Target Horizontal Scan											
1227	ALL_PREX		Beam On		5 uA		Tungsten Wire			Target Horizontal Scan 											
1228	ALL_PREX		Beam on		5 uA		Tungsten Wire			Target Vertical Scan											
1229	ALL_PREX																				
1230	ALL_PREX		Beam On		5 uA																
1231	ALL_PREX		Beam On		5 uA																
1232	ALL_PREX																				
1233	ALL_PREX																				
1234	ALL_PREX									Replaced VQWK1 ADC, still missing 8 XM signal											
1235	ALL_PREX																				
1236	ALL_PREX																				
1237	ALL_PREX		Beam On		20 uA 	2.2 GeV	Carbon 0.52% RL							OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1238	ALL_PREX		Beam On		20 uA	2.2 GeV	Carbon 0.52% RL							OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1239	ALL_PREX		Beam On		20 uA	2.2 GeV	Carbon 0.52% RL			New run after reboot ROC				OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1240	ALL_PREX		Beam On		20 uA	2.2 GeV	Carbon 0.52% RL							OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1241	ALL_PREX		Beam On		20 uA	2.2 GeV	Carbon 0.52% RL														
1242	ALL_PREX		Beam On		20 uA	2.2 GeV	Carbon 0.52% RL														
1243	ALL_PREX		junk							Keep waiting for EB1, killed this run											
1244	ALL_PREX		pedestal							A short DAQ test											
1245	ALL_PREX		pedestal							Forced Gain zero											
1246	ALL_PREX		pedestal							Auto Gain Back, this run to see difference											
1247	ALL_PREX		test							Testing CODA											
1248	ALL_PREX		test							Testing CODA											
1249	ALL_PREX		beam on		15 uA	2.2 GeV	Tungsten 2.8% RL			Testing CODA				OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1250	ALL_PREX		beam on		15 uA	2.2 GeV	Tungsten 2.8% RL			SAM HV on	1.5 mm/ 5 mm			700	75	700	500	700	75	700	500
1251	ALL_PREX		beam on		15 uA	2.2 GeV	Tungsten 2.8% RL			SAM saturation, scale HV down by a factor 2	1.5 mm/ 5 mm			350	75	350	250	350	75	350	250
1252	ALL_PREX		beam on		15 uA	2.2 GeV	Tungsten 2.8% RL			Increase high gain tube HV by 100 V	1.5 mm/ 5 mm			450	75	450	350	450	75	450	350
										SAM 4 and 8 saturate, decrease 100 V	1.5 mm/ 5 mm			550	75	550	250	550	75	550	250
1253	ALL_PREX		Test		20 uA	2.2 GeV	Tungsten 2.8% RL				1.5 mm/ 5 mm			550	75	550	250	550	75	550	250
1254	ALL_PREX		beam on		20 uA	2.2 GeV	Tungsten 2.8% RL			SAM 7 at limit, down by 100 V	1.5 mm/ 5 mm			OFF	75	550	250	550	75	450	250
1255	ALL_PREX		beam on		20 uA	2.2 GeV	Tungsten 2.8% RL				1.5 mm/ 5 mm			OFF	75	650	250	550	75	450	250
1256	ALL_PREX	2/16	test		30 uA	2.2 GeV	Tungsten 2.8% RL			DAQ warming up, A short run. DAQ ending failed											
1257	ALL_PREX	2/16	test							Another short test, DAQ is working now											
1258	ALL_PREX	2/16	test	CW	30 uA					Test											
1259	ALL_PREX	2/16	test	CW	30 uA	2.2 GeV	Tungsten 2.8% RL														
1260	ALL_PREX	2/16	test		8 uA	2.2 GeV	Tungsten 2.8% RL			Raster back on after this run	OFF										
1261	ALL_PREX	2/16	beam on	Tuning	1 uA	2.2 GeV	Tungsten 2.8% RL			Target Scan, as a position calibration. SAMs On	on			OFF	75	650	250	550	75	450	250
1262	ALL_PREX	2/16	beam on	Tuning	1 uA		Tungsten 2.8% RL			Tunning beam, signal is relatively small	on			OFF	75	650	250	550	75	450	250
1263	ALL_PREX	2/16	beam on	Tuning	1 uA		Tungsten 2.8% RL				on			OFF	75	650	250	550	75	450	250
1264	ALL_PREX	2/16	beam on	Tuning	1 uA	2.2 GeV	Tungsten 2.8% RL		Y	Target Scan	OFF			OFF	75	650	250	550	75	450	250
